File,Suffix,Sensor,Mean,Std,RMSE
da3211_1.mat,_nominal,GPS,[-0.     -0.0001 -0.0002 -0.0023 -0.0173  0.0913],[0.001  0.0001 0.0001 0.0028 0.0133 0.0058],[0.001  0.0001 0.0002 0.0036 0.0218 0.0915]
da3211_1.mat,_nominal,Airdata,[ 0.031   0.0046 -0.0016],[0.0192 0.0006 0.0015],[0.0365 0.0046 0.0022]
da3211_1.mat,_sigmaV3,GPS,[-0.     -0.0001 -0.0002  0.001  -0.0172  0.0914],[0.001  0.0001 0.0001 0.0039 0.0132 0.0058],[0.001  0.0001 0.0002 0.004  0.0217 0.0916]
da3211_1.mat,_sigmaV3,Airdata,[ 1.0355  0.0046 -0.0016],[6.71e-01 6.00e-04 1.50e-03],[1.2339 0.0046 0.0022]
da3211_2.mat,_nominal,GPS,[ 0.0001 -0.0001  0.0002 -0.0034  0.0241  0.0916],[0.0014 0.0001 0.0002 0.0055 0.0181 0.0106],[0.0014 0.0002 0.0003 0.0065 0.0302 0.0922]
da3211_2.mat,_nominal,Airdata,[0.0422 0.0046 0.0021],[0.0322 0.0011 0.002 ],[0.0531 0.0047 0.0029]
da3211_2.mat,_sigmaV3,GPS,[ 0.0001 -0.0001  0.0002  0.001   0.024   0.0917],[0.0014 0.0001 0.0002 0.0074 0.0181 0.0107],[0.0014 0.0002 0.0003 0.0075 0.0301 0.0924]
da3211_2.mat,_sigmaV3,Airdata,[1.4711 0.0046 0.0021],[1.1388e+00 1.1000e-03 2.0000e-03],[1.8604 0.0047 0.0029]
dadoublet_1.mat,_nominal,GPS,[ 0.     -0.     -0.     -0.0009 -0.0006  0.0911],[0.0006 0.     0.     0.0004 0.0031 0.0009],[0.0006 0.     0.     0.001  0.0032 0.0911]
dadoublet_1.mat,_nominal,Airdata,[ 0.0156  0.0046 -0.0001],[0.0046 0.0002 0.0005],[0.0163 0.0046 0.0005]
dadoublet_1.mat,_sigmaV3,GPS,[ 0.     -0.     -0.      0.0008 -0.0006  0.0912],[0.0006 0.     0.     0.0004 0.0031 0.0009],[0.0006 0.     0.     0.0009 0.0032 0.0912]
dadoublet_1.mat,_sigmaV3,Airdata,[ 4.517e-01  4.600e-03 -1.000e-04],[0.0465 0.0002 0.0005],[0.4541 0.0046 0.0005]
dadr3211_1.mat,_nominal,GPS,[-0.     -0.0001 -0.0002 -0.0029 -0.0239  0.0899],[0.0013 0.0001 0.0002 0.0044 0.0135 0.0101],[0.0013 0.0001 0.0003 0.0052 0.0275 0.0904]
dadr3211_1.mat,_nominal,Airdata,[ 0.0425  0.0044 -0.0021],[0.0253 0.0011 0.0019],[0.0494 0.0046 0.0028]
dadr3211_1.mat,_sigmaV3,GPS,[-0.     -0.0001 -0.0002  0.0016 -0.0238  0.09  ],[0.0013 0.0001 0.0002 0.006  0.0134 0.01  ],[0.0013 0.0001 0.0003 0.0062 0.0274 0.0906]
dadr3211_1.mat,_sigmaV3,Airdata,[ 1.4983  0.0044 -0.0021],[0.8603 0.0011 0.0019],[1.7277 0.0046 0.0028]
dadr3211_2.mat,_nominal,GPS,[ 0.0001 -0.0001  0.0003 -0.0046  0.0327  0.0896],[0.0013 0.0001 0.0002 0.0059 0.0162 0.0115],[0.0013 0.0002 0.0003 0.0075 0.0365 0.0903]
dadr3211_2.mat,_nominal,Airdata,[0.0593 0.0044 0.0026],[0.0371 0.0012 0.0021],[0.07   0.0046 0.0034]
dadr3211_2.mat,_sigmaV3,GPS,[ 0.0001 -0.0001  0.0003  0.0016  0.0326  0.0898],[0.0013 0.0001 0.0002 0.0082 0.0161 0.0114],[0.0013 0.0002 0.0003 0.0083 0.0363 0.0905]
dadr3211_2.mat,_sigmaV3,Airdata,[2.1469 0.0044 0.0026],[1.3018e+00 1.2000e-03 2.1000e-03],[2.5108 0.0046 0.0033]
de3211_1.mat,_nominal,GPS,[-0.     -0.     -0.     -0.0019 -0.      0.0916],[0.     0.0006 0.     0.0056 0.     0.0224],[0.     0.0006 0.     0.006  0.     0.0943]
